claim_id,product_id,product_category,product_brand,product_model,product_serial,purchase_date,purchase_price,retailer,invoice_number,warranty_start_date,warranty_expiry_date,warranty_duration_months,product_age_days,remaining_warranty_days,is_extended_warranty,fault_occurrence_date,fault_category,fault_description,damage_type,has_receipt,has_warranty_card,has_damage_photo,has_serial_photo,has_repair_report,missing_document_count,serial_number_match,previous_repairs_count,unauthorized_repair_flag,claim_date_conflict_flag,claim_class
CLM-00399,PRD-00399,Consumer Electronics,NovaSound,ApexFit Chrono 3,SN-NOV-8479891,2026-06-15,1616.53,National Appliance Depot,INV-2025-35971,2026-06-15,2027-06-10,12,97,263,0,2026-09-16,Bluetooth/Wi-Fi failure,Reported genuine hardware failure: Bluetooth/Wi-Fi failure under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,0,0,0,Valid Claim
CLM-00710,PRD-00710,Home Appliances,CleanCycle,KitchenPro Convection 30L,SN-CLE-5011610,2026-05-14,633.11,Prime Retail Express,INV-2026-19830,2026-05-14,2028-05-03,24,129,591,0,2026-09-18,Motor burnout,Device submitted does not match registered unit. Serial on invoice differs from backplate.,Serial Mismatch,1,0,1,1,0,1,0,0,0,0,Invalid Claim
CLM-01007,PRD-01007,Consumer Electronics,PixelCraft,NovaWatch Ultra,SN-PIX-7873288,2023-10-04,563.04,Prime Retail Express,INV-2026-71547,2023-10-04,2026-09-18,36,1082,0,1,2026-09-16,Screen flickering,Fault occurred near warranty expiration boundary. Customer requests grace period evaluation.,Borderline Lifecycle,1,1,1,1,0,0,1,1,0,0,Manual Review
CLM-01398,PRD-01398,Consumer Electronics,VividDisplay,QuantumBook Ultra 15,SN-VIV-5257324,2025-08-24,2492.42,National Appliance Depot,INV-2026-97864,2025-08-24,2027-08-14,24,392,328,1,2026-09-12,Screen flickering,Claim submitted without primary proof of purchase receipt. Customer submitted affidavit instead.,Incomplete Documentation,0,1,1,0,0,2,1,0,0,0,Manual Review
CLM-01100,PRD-01100,Home Appliances,ThermaPure,ThermaCold 320L,SN-THE-6952126,2024-10-02,1612.75,Prime Retail Express,INV-2025-15311,2024-10-02,2028-09-11,48,718,722,1,2024-09-21,Thermostat failure,Discrepancy detected: Claimed fault occurrence date predates registered purchase date.,Date Inconsistency,1,1,1,1,0,0,1,0,0,1,Manual Review
CLM-00212,PRD-00212,Home Appliances,FrostGuard,CleanCycle FrontLoad 8kg,SN-FRO-8035849,2023-06-08,658.22,Electronics Hub Metro,INV-2025-51934,2023-06-08,2027-05-18,48,1200,240,1,2026-09-07,Compressor failure,Reported genuine hardware failure: Compressor failure under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,0,0,0,Valid Claim
CLM-00917,PRD-00917,Industrial & Automotive Tools,TitanPower,TitanAir 50L Heavy Duty,SN-TIT-4889005,2023-07-02,394.2,Prime Retail Express,INV-2025-51945,2023-07-02,2026-06-16,36,1176,0,0,2026-09-09,Trigger switch failure,Failure: Trigger switch failure. Note: product warranty expired 96 days ago.,Hardware Wear,1,1,1,1,0,0,1,2,0,0,Invalid Claim
CLM-00547,PRD-00547,Home Appliances,CleanCycle,AeroBreeze DualCool 2.0T,SN-CLE-1469389,2025-10-05,1564.93,Electronics Hub Metro,INV-2026-65280,2025-10-05,2027-09-25,24,350,370,0,2026-09-14,Motor burnout,Unit previously opened and tampered with at non-authorized workshop (Corner Hardware & Mobile Repairs).,Tampering,1,1,1,1,1,0,1,1,1,0,Invalid Claim
CLM-00567,PRD-00567,Home Appliances,FrostGuard,KitchenPro Grill 25L,SN-FRO-9695551,2024-07-01,1045.54,National Appliance Depot,INV-2026-15697,2024-07-01,2026-06-21,24,811,0,0,2026-09-02,Electronic PCB failure,Failure: Electronic PCB failure. Note: product warranty expired 91 days ago.,Hardware Wear,1,1,1,1,0,0,1,1,0,0,Invalid Claim
CLM-00819,PRD-00819,Home Appliances,CleanCycle,AeroBreeze Inverter 1.5T,SN-CLE-5050605,2024-08-23,1438.17,TechMegaStore Downtown,INV-2025-54124,2024-08-23,2026-08-13,24,758,0,0,2026-09-04,Drum spin malfunction,Failure: Drum spin malfunction. Note: product warranty expired 38 days ago.,Hardware Wear,1,1,1,1,0,0,1,1,0,0,Invalid Claim
CLM-00074,PRD-00074,Consumer Electronics,NovaSound,NovaWatch Ultra,SN-NOV-4785186,2024-06-03,2177.32,Official Brand Store,INV-2026-62089,2024-06-03,2027-05-19,36,839,241,1,2026-09-06,Screen flickering,Reported genuine hardware failure: Screen flickering under regular domestic usage.,Hardware Defect,1,1,1,1,1,0,1,0,0,0,Valid Claim
CLM-00158,PRD-00158,Industrial & Automotive Tools,MegaWrench,TorqueGrinder 1500W,SN-MEG-9891787,2024-02-12,303.21,Electronics Hub Metro,INV-2025-36651,2024-02-12,2028-01-22,48,951,489,1,2026-09-07,Armature burning,Reported genuine hardware failure: Armature burning under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,0,0,0,Valid Claim
CLM-00976,PRD-00976,Home Appliances,ThermaPure,CleanCycle FrontLoad 8kg,SN-THE-6958544,2025-11-18,582.86,Industrial Supply Direct,INV-2025-75494,2025-11-18,2027-11-08,24,306,414,0,2026-09-06,Pest infestation inside chassis,Physical inspection reveals clear Pest infestation inside chassis violating warranty coverage terms.,Customer Induced Damage,1,1,1,1,0,0,1,0,0,0,Invalid Claim
CLM-00987,PRD-00987,Consumer Electronics,NovaSound,VividTab 11 Max,SN-NOV-9309339,2026-05-08,674.49,Official Brand Store,INV-2026-12043,2026-05-08,2027-05-03,12,135,225,0,2026-09-17,Battery failure to charge,Device submitted does not match registered unit. Serial on invoice differs from backplate.,Serial Mismatch,1,0,1,1,0,1,0,0,0,0,Invalid Claim
CLM-00211,PRD-00211,Consumer Electronics,VividDisplay,VividTab 11 Max,SN-VIV-2726457,2026-07-07,2255.82,Official Brand Store,INV-2026-25117,2026-07-07,2028-06-26,24,75,645,1,2026-09-18,Motherboard failure,Reported genuine hardware failure: Motherboard failure under regular domestic usage.,Hardware Defect,1,1,1,1,1,0,1,0,0,0,Valid Claim
CLM-00176,PRD-00176,Industrial & Automotive Tools,TitanPower,IronForge TwinPiston 100L,SN-TIT-3273137,2025-05-28,499.36,Industrial Supply Direct,INV-2025-91289,2025-05-28,2028-05-12,36,480,600,0,2026-09-08,Chuck bearing breakdown,Reported genuine hardware failure: Chuck bearing breakdown under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,1,0,0,Valid Claim
CLM-01349,PRD-01349,Home Appliances,KitchenPro,ThermaAir Silent,SN-KIT-4627767,2025-08-20,1850.74,Official Brand Store,INV-2024-36642,2025-08-20,2028-08-04,36,396,684,1,2025-08-11,Compressor failure,Discrepancy detected: Claimed fault occurrence date predates registered purchase date.,Date Inconsistency,1,1,1,1,0,0,1,0,0,1,Manual Review
CLM-00624,PRD-00624,Industrial & Automotive Tools,MegaWrench,TorqueGrinder 1500W,SN-MEG-2348021,2024-08-13,745.32,Electronics Hub Metro,INV-2025-31734,2024-08-13,2027-07-29,36,768,312,0,2026-09-13,Trigger switch failure,Unit previously opened and tampered with at non-authorized workshop (Corner Hardware & Mobile Repairs).,Tampering,1,1,1,1,1,0,1,3,1,0,Invalid Claim
CLM-00939,PRD-00939,Consumer Electronics,VividDisplay,NovaWatch Ultra,SN-VIV-7772195,2025-06-13,1637.22,National Appliance Depot,INV-2026-52083,2025-06-13,2026-06-08,12,464,0,0,2026-09-15,Speaker malfunction,Failure: Speaker malfunction. Note: product warranty expired 104 days ago.,Hardware Wear,1,1,1,1,0,0,1,0,0,0,Invalid Claim
CLM-00166,PRD-00166,Consumer Electronics,NovaSound,QuantumBook Ultra 15,SN-NOV-5042786,2026-06-02,640.44,Prime Retail Express,INV-2025-56457,2026-06-02,2028-05-22,24,110,610,0,2026-09-07,Speaker malfunction,Reported genuine hardware failure: Speaker malfunction under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,0,0,0,Valid Claim
CLM-00928,PRD-00928,Consumer Electronics,NovaSound,QuantumBook Ultra 15,SN-NOV-9615106,2025-05-18,2145.49,TechMegaStore Downtown,INV-2026-71400,2025-05-18,2026-05-13,12,490,0,0,2026-09-07,Speaker malfunction,Failure: Speaker malfunction. Note: product warranty expired 130 days ago.,Hardware Wear,1,1,1,1,0,0,1,1,0,0,Invalid Claim
CLM-00947,PRD-00947,Industrial & Automotive Tools,IronForge,IronGrind 9-inch Industrial,SN-IRO-9708598,2026-05-07,451.29,National Appliance Depot,INV-2025-94186,2026-05-07,2028-04-26,24,136,584,0,2026-09-11,Use of non-spec hydraulic oil,Physical inspection reveals clear Use of non-spec hydraulic oil violating warranty coverage terms.,Customer Induced Damage,1,1,1,1,0,0,1,0,0,0,Invalid Claim
CLM-01316,PRD-01316,Industrial & Automotive Tools,TitanPower,TitanDrill 20V HD,SN-TIT-9388090,2026-03-03,183.6,Electronics Hub Metro,INV-2026-37536,2026-03-03,2029-02-15,36,201,879,1,2026-09-16,Armature burning,Claim submitted without primary proof of purchase receipt. Customer submitted affidavit instead.,Incomplete Documentation,0,1,1,0,0,2,1,0,0,0,Manual Review
CLM-00185,PRD-00185,Industrial & Automotive Tools,MegaWrench,IronForge TwinPiston 100L,SN-MEG-8206700,2023-05-27,596.16,Official Brand Store,INV-2024-36972,2023-05-27,2027-05-06,48,1212,228,1,2026-09-15,Trigger switch failure,Reported genuine hardware failure: Trigger switch failure under regular domestic usage.,Hardware Defect,1,1,1,1,1,0,1,0,0,0,Valid Claim
CLM-00105,PRD-00105,Consumer Electronics,PixelCraft,PixelSlate 12,SN-PIX-8391997,2024-05-07,1260.86,National Appliance Depot,INV-2025-75916,2024-05-07,2027-04-22,36,866,214,1,2026-09-12,Unresponsive touch panel,Reported genuine hardware failure: Unresponsive touch panel under regular domestic usage.,Hardware Defect,1,1,1,1,1,0,1,0,0,0,Valid Claim
CLM-01256,PRD-01256,Consumer Electronics,NovaSound,QuantumBook Ultra 15,SN-NOV-8639392,2026-02-12,1695.44,Official Brand Store,INV-2025-78287,2026-02-12,2028-02-02,24,220,500,1,2026-02-04,Screen flickering,Discrepancy detected: Claimed fault occurrence date predates registered purchase date.,Date Inconsistency,1,1,1,1,0,0,1,0,0,1,Manual Review
CLM-01197,PRD-01197,Home Appliances,CleanCycle,FrostGuard Side-by-Side 600L,SN-CLE-2976444,2023-10-01,1869.56,Official Brand Store,INV-2026-89954,2023-10-01,2026-09-15,36,1085,0,0,2026-09-18,Drum spin malfunction,Fault occurred near warranty expiration boundary. Customer requests grace period evaluation.,Borderline Lifecycle,1,1,1,1,0,0,1,1,0,0,Manual Review
CLM-01453,PRD-01453,Consumer Electronics,NovaSound,ApexBook Pro 16,SN-NOV-1287020,2026-06-25,901.97,TechMegaStore Downtown,INV-2024-47266,2026-06-25,2027-06-20,12,87,273,0,2026-09-14,Bluetooth/Wi-Fi failure,Claim submitted without primary proof of purchase receipt. Customer submitted affidavit instead.,Incomplete Documentation,0,1,1,0,0,2,1,0,0,0,Manual Review
CLM-00718,PRD-00718,Consumer Electronics,QuantumCompute,NovaPhone 12 Pro,SN-QUA-5527300,2025-12-27,778.76,Electronics Hub Metro,INV-2024-28577,2025-12-27,2026-12-22,12,267,93,0,2026-09-16,Battery failure to charge,Unit previously opened and tampered with at non-authorized workshop (Corner Hardware & Mobile Repairs).,Tampering,1,1,1,1,1,0,1,2,1,0,Invalid Claim
CLM-00490,PRD-00490,Home Appliances,AeroBreeze,CleanCycle FrontLoad 8kg,SN-AER-6037789,2025-11-21,1649.6,Industrial Supply Direct,INV-2025-18444,2025-11-21,2027-11-11,24,303,417,0,2026-09-09,Water pump leakage,Reported genuine hardware failure: Water pump leakage under regular domestic usage.,Hardware Defect,1,1,1,1,1,0,1,1,0,0,Valid Claim
CLM-00920,PRD-00920,Home Appliances,CleanCycle,KitchenPro Convection 30L,SN-CLE-1927904,2026-07-03,1848.89,National Appliance Depot,INV-2026-28340,2026-07-03,2029-06-17,36,79,1001,0,2026-09-06,Motor burnout,Unit previously opened and tampered with at non-authorized workshop (Downtown Third-Party Repair Stall).,Tampering,1,1,1,1,1,0,1,3,1,0,Invalid Claim
CLM-01253,PRD-01253,Industrial & Automotive Tools,ApexIndustrial,TitanDrill 20V HD,SN-APE-1812293,2023-10-02,877.28,Official Brand Store,INV-2024-25146,2023-10-02,2026-09-16,36,1084,0,1,2026-09-16,Chuck bearing breakdown,Fault occurred near warranty expiration boundary. Customer requests grace period evaluation.,Borderline Lifecycle,1,1,1,1,0,0,1,1,0,0,Manual Review
CLM-00613,PRD-00613,Consumer Electronics,VividDisplay,NovaPad Pro 10,SN-VIV-4389195,2026-03-06,547.84,Electronics Hub Metro,INV-2026-14968,2026-03-06,2027-03-01,12,198,162,0,2026-09-16,Battery failure to charge,Device submitted does not match registered unit. Serial on invoice differs from backplate.,Serial Mismatch,1,0,1,1,0,1,0,0,0,0,Invalid Claim
CLM-00667,PRD-00667,Home Appliances,ThermaPure,AeroBreeze DualCool 2.0T,SN-THE-8186377,2026-03-09,1726.51,Prime Retail Express,INV-2025-24246,2026-03-09,2029-02-21,36,195,885,0,2026-09-16,Thermostat failure,Device submitted does not match registered unit. Serial on invoice differs from backplate.,Serial Mismatch,1,0,1,1,0,1,0,0,0,0,Invalid Claim
CLM-01063,PRD-01063,Home Appliances,KitchenPro,FrostGuard Side-by-Side 600L,SN-KIT-2974150,2022-10-08,1416.15,Industrial Supply Direct,INV-2024-69208,2022-10-08,2026-09-17,48,1443,0,1,2026-09-17,Drum spin malfunction,Fault occurred near warranty expiration boundary. Customer requests grace period evaluation.,Borderline Lifecycle,1,1,1,1,0,0,1,1,0,0,Manual Review
CLM-00264,PRD-00264,Consumer Electronics,PixelCraft,NovaWatch Ultra,SN-PIX-4351238,2026-03-10,1988.31,Prime Retail Express,INV-2024-56913,2026-03-10,2028-02-28,24,194,526,0,2026-09-17,Unresponsive touch panel,Reported genuine hardware failure: Unresponsive touch panel under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,0,0,0,Valid Claim
CLM-00785,PRD-00785,Industrial & Automotive Tools,TitanPower,MegaWash Pro 2500PSI,SN-TIT-2222751,2025-09-17,656.76,National Appliance Depot,INV-2026-92744,2025-09-17,2027-09-07,24,368,352,0,2026-09-15,Use of non-spec hydraulic oil,Physical inspection reveals clear Use of non-spec hydraulic oil violating warranty coverage terms.,Customer Induced Damage,1,1,1,1,0,0,1,0,0,0,Invalid Claim
CLM-00223,PRD-00223,Consumer Electronics,VividDisplay,QuantumPixel 8,SN-VIV-9370012,2026-02-06,1146.58,Prime Retail Express,INV-2025-17992,2026-02-06,2027-02-01,12,226,134,0,2026-09-14,Speaker malfunction,Reported genuine hardware failure: Speaker malfunction under regular domestic usage.,Hardware Defect,1,1,1,1,1,0,1,1,0,0,Valid Claim
CLM-01174,PRD-01174,Home Appliances,KitchenPro,CleanCycle QuickWash 7kg,SN-KIT-8229118,2024-12-22,641.2,National Appliance Depot,INV-2025-20769,2024-12-22,2028-12-01,48,637,803,1,2026-09-08,Drum spin malfunction,Diagnostic report inconclusive regarding whether component failure was thermal surge or defect.,Ambiguous Diagnostic,1,1,1,1,1,0,1,1,0,0,Manual Review
CLM-01248,PRD-01248,Consumer Electronics,NovaSound,NovaPhone 12 Pro,SN-NOV-1471076,2026-02-25,2067.34,TechMegaStore Downtown,INV-2024-57750,2026-02-25,2029-02-09,36,207,873,1,2026-09-18,Screen flickering,Claim submitted without primary proof of purchase receipt. Customer submitted affidavit instead.,Incomplete Documentation,0,1,1,0,0,2,1,0,0,0,Manual Review
CLM-00138,PRD-00138,Home Appliances,AeroBreeze,ThermaAir Silent,SN-AER-9204110,2023-06-04,806.27,National Appliance Depot,INV-2026-45842,2023-06-04,2027-05-14,48,1204,236,1,2026-08-28,Electronic PCB failure,Reported genuine hardware failure: Electronic PCB failure under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,0,0,0,Valid Claim
CLM-00324,PRD-00324,Industrial & Automotive Tools,MegaWrench,TitanPressure 3000PSI Commercial,SN-MEG-5609255,2026-06-27,713.43,Prime Retail Express,INV-2025-62150,2026-06-27,2029-06-11,36,85,995,1,2026-09-02,Chuck bearing breakdown,Reported genuine hardware failure: Chuck bearing breakdown under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,1,0,0,Valid Claim
CLM-01131,PRD-01131,Consumer Electronics,QuantumCompute,ApexBook Pro 16,SN-QUA-4155467,2026-08-04,207.56,National Appliance Depot,INV-2024-97107,2026-08-04,2028-07-24,24,47,673,0,2026-09-13,Speaker malfunction,Diagnostic report inconclusive regarding whether component failure was thermal surge or defect.,Ambiguous Diagnostic,1,1,1,1,1,0,1,1,0,0,Manual Review
CLM-00776,PRD-00776,Home Appliances,FrostGuard,CleanCycle FrontLoad 8kg,SN-FRO-1000599,2026-04-27,543.84,TechMegaStore Downtown,INV-2026-22696,2026-04-27,2028-04-16,24,146,574,0,2026-09-03,Commercial heavy utilization,Physical inspection reveals clear Commercial heavy utilization violating warranty coverage terms.,Customer Induced Damage,1,1,1,1,0,0,1,0,0,0,Invalid Claim
CLM-00654,PRD-00654,Consumer Electronics,QuantumCompute,PixelSlate 12,SN-QUA-3403234,2025-11-03,1431.58,TechMegaStore Downtown,INV-2026-45310,2025-11-03,2026-10-29,12,321,39,0,2026-09-08,Motherboard failure,Unit previously opened and tampered with at non-authorized workshop (Corner Hardware & Mobile Repairs).,Tampering,1,1,1,1,1,0,1,1,1,0,Invalid Claim
CLM-00167,PRD-00167,Industrial & Automotive Tools,TitanPower,IronForge TwinPiston 100L,SN-TIT-1531577,2023-01-25,256.53,Industrial Supply Direct,INV-2025-82443,2023-01-25,2027-01-04,48,1334,106,1,2026-09-18,Hydraulic pressure seal failure,Reported genuine hardware failure: Hydraulic pressure seal failure under regular domestic usage.,Hardware Defect,1,1,1,1,1,0,1,0,0,0,Valid Claim
CLM-00587,PRD-00587,Industrial & Automotive Tools,MegaWrench,MegaWash Pro 2500PSI,SN-MEG-1690263,2025-06-05,684.04,Prime Retail Express,INV-2025-65850,2025-06-05,2028-05-20,36,472,608,0,2026-09-12,Gearbox seizure,Device submitted does not match registered unit. Serial on invoice differs from backplate.,Serial Mismatch,1,0,1,1,0,1,0,0,0,0,Invalid Claim
CLM-00426,PRD-00426,Home Appliances,KitchenPro,KitchenPro Convection 30L,SN-KIT-9980912,2026-06-26,1795.07,National Appliance Depot,INV-2025-99369,2026-06-26,2029-06-10,36,86,994,0,2026-08-29,Water pump leakage,Reported genuine hardware failure: Water pump leakage under regular domestic usage.,Hardware Defect,1,1,1,1,1,0,1,1,0,0,Valid Claim
