claim_id,product_category,fault_category,reported_damage_type,claim_amount,warranty_status,python_predicted_class,python_conf_valid,python_conf_invalid,python_conf_manual,python_top_confidence,gtm_predicted_class,gtm_conf_valid,gtm_conf_invalid,gtm_conf_manual,gtm_top_confidence,is_class_match,top_confidence_difference,model_consistency_status,master_engine_decision,decision_rationale
CLM-01186,Home Appliances,Thermostat failure,Borderline Lifecycle,448.26,Expired,Manual Review,0.0000,0.0173,0.9827,0.9827,Manual Review,0.0000,0.0000,1.0000,1.0000,True,0.0173,Strong Match,Manual Review Required,Policy review trigger active: Grace period adjudication required.
CLM-01440,Home Appliances,Water pump leakage,Incomplete Documentation,145.21,Active,Manual Review,0.0000,0.0000,1.0000,1.0000,Manual Review,0.0000,0.0000,1.0000,1.0000,True,0.0000,Strong Match,Manual Review Required,Policy review trigger active: Primary proof of purchase receipt missing: Claimant identity verification required.
CLM-01084,Consumer Electronics,Screen flickering,Incomplete Documentation,435.67,Active,Manual Review,0.0000,0.0000,1.0000,1.0000,Manual Review,0.0000,0.0000,1.0000,1.0000,True,0.0000,Strong Match,Manual Review Required,Policy review trigger active: Primary proof of purchase receipt missing: Claimant identity verification required.
CLM-01099,Home Appliances,Water pump leakage,Date Inconsistency,453.84,Active,Manual Review,0.0063,0.0000,0.9938,0.9938,Manual Review,0.0000,0.0000,1.0000,1.0000,True,0.0062,Strong Match,Manual Review Required,Chronological or serial contradiction detected: Chronological Contradiction: Reported fault occurrence (2023-12-16) is prior to retail purchase date (2024-01-02).
CLM-01167,Industrial & Automotive Tools,Armature burning,Date Inconsistency,298.95,Active,Manual Review,0.0000,0.0000,1.0000,1.0000,Manual Review,0.0000,0.0000,1.0000,1.0000,True,0.0000,Strong Match,Manual Review Required,Chronological or serial contradiction detected: Chronological Contradiction: Reported fault occurrence (2024-06-05) is prior to retail purchase date (2024-06-25).
CLM-01039,Consumer Electronics,Speaker malfunction,Ambiguous Diagnostic,175.68,Active,Manual Review,0.0042,0.0801,0.9157,0.9157,Manual Review,0.0000,0.0000,1.0000,1.0000,True,0.0843,Strong Match,Manual Review Required,Both AI models flagged claim as requiring manual human review.
CLM-01218,Consumer Electronics,Unresponsive touch panel,Ambiguous Diagnostic,368.04,Active,Manual Review,0.0000,0.0575,0.9425,0.9425,Manual Review,0.0000,0.0000,1.0000,1.0000,True,0.0575,Strong Match,Manual Review Required,Both AI models flagged claim as requiring manual human review.
CLM-01178,Consumer Electronics,Motherboard failure,Ambiguous Diagnostic,161.49,Active,Manual Review,0.0076,0.0000,0.9924,0.9924,Manual Review,0.0000,0.0000,1.0000,1.0000,True,0.0076,Strong Match,Manual Review Required,Both AI models flagged claim as requiring manual human review.
CLM-00134,Home Appliances,Electronic PCB failure,Hardware Defect,393.45,Active,Valid Claim,0.9987,0.0000,0.0013,0.9987,Valid Claim,1.0000,0.0000,0.0000,1.0000,True,0.0013,Strong Match,Likely Valid,All warranty conditions satisfied; serial verified; and both AI models unanimously approve claim.
CLM-00278,Industrial & Automotive Tools,Trigger switch failure,Hardware Defect,115.91,Active,Valid Claim,0.9945,0.0000,0.0055,0.9945,Valid Claim,1.0000,0.0000,0.0000,1.0000,True,0.0055,Strong Match,Likely Valid,All warranty conditions satisfied; serial verified; and both AI models unanimously approve claim.
CLM-00403,Industrial & Automotive Tools,Trigger switch failure,Hardware Defect,193.80,Active,Valid Claim,0.9998,0.0000,0.0002,0.9998,Valid Claim,1.0000,0.0000,0.0000,1.0000,True,0.0002,Strong Match,Likely Valid,All warranty conditions satisfied; serial verified; and both AI models unanimously approve claim.
CLM-00433,Consumer Electronics,Speaker malfunction,Hardware Defect,189.84,Active,Valid Claim,1.0000,0.0000,0.0000,1.0000,Valid Claim,1.0000,0.0000,0.0000,1.0000,True,0.0000,Strong Match,Likely Valid,All warranty conditions satisfied; serial verified; and both AI models unanimously approve claim.
CLM-00428,Consumer Electronics,Bluetooth/Wi-Fi failure,Hardware Defect,160.78,Active,Valid Claim,1.0000,0.0000,0.0000,1.0000,Valid Claim,1.0000,0.0000,0.0000,1.0000,True,0.0000,Strong Match,Likely Valid,All warranty conditions satisfied; serial verified; and both AI models unanimously approve claim.
CLM-00010,Home Appliances,Motor burnout,Hardware Defect,314.33,Active,Valid Claim,0.9910,0.0090,0.0000,0.9910,Valid Claim,1.0000,0.0000,0.0000,1.0000,True,0.0090,Strong Match,Likely Valid,All warranty conditions satisfied; serial verified; and both AI models unanimously approve claim.
CLM-00429,Home Appliances,Water pump leakage,Hardware Defect,209.84,Active,Valid Claim,0.9952,0.0045,0.0003,0.9952,Valid Claim,1.0000,0.0000,0.0000,1.0000,True,0.0048,Strong Match,Likely Valid,All warranty conditions satisfied; serial verified; and both AI models unanimously approve claim.
CLM-00486,Consumer Electronics,Motherboard failure,Hardware Defect,145.56,Active,Valid Claim,1.0000,0.0000,0.0000,1.0000,Valid Claim,1.0000,0.0000,0.0000,1.0000,True,0.0000,Strong Match,Likely Valid,All warranty conditions satisfied; serial verified; and both AI models unanimously approve claim.
CLM-00253,Home Appliances,Thermostat failure,Hardware Defect,307.96,Active,Valid Claim,0.9987,0.0000,0.0013,0.9987,Valid Claim,1.0000,0.0000,0.0000,1.0000,True,0.0013,Strong Match,Likely Valid,All warranty conditions satisfied; serial verified; and both AI models unanimously approve claim.
CLM-00435,Industrial & Automotive Tools,Hydraulic pressure seal failure,Hardware Defect,213.22,Active,Valid Claim,0.9840,0.0073,0.0088,0.9840,Valid Claim,1.0000,0.0000,0.0000,1.0000,True,0.0160,Strong Match,Likely Valid,All warranty conditions satisfied; serial verified; and both AI models unanimously approve claim.
